part_name,model_name,num_classes,train_samples,val_samples,best_val_acc,best_epoch
face,VGG16,3,1000,458,0.7299,22
face,AlexNet,3,1000,458,0.6472,19
face,GoogLeNet,3,1000,458,0.6953,22
face,ResNet18,3,1000,458,0.7453,19
face,ResNet34,3,1000,458,0.7916,20
face,DenseNet121,3,1000,458,0.7953,19
face,EfficientNetV2,3,1000,458,0.7884,19
face,MobileNetV2,3,1000,458,0.7195,15
mouth,VGG16,3,916,410,0.7248,23
mouth,AlexNet,3,916,410,0.6117,15
mouth,GoogLeNet,3,916,410,0.6512,17
mouth,ResNet18,3,916,410,0.7621,21
mouth,ResNet34,3,916,410,0.7595,19
mouth,DenseNet121,3,916,410,0.7871,17
mouth,EfficientNetV2,3,916,410,0.7895,16
mouth,MobileNetV2,3,916,410,0.7683,18
nose,VGG16,3,1018,479,0.7579,24
nose,AlexNet,3,1018,479,0.6958,23
nose,GoogLeNet,3,1018,479,0.7506,22
nose,ResNet18,3,1018,479,0.7655,17
nose,ResNet34,3,1018,479,0.7934,22
nose,DenseNet121,3,1018,479,0.8268,18
nose,EfficientNetV2,3,1018,479,0.8442,24
nose,MobileNetV2,3,1018,479,0.7273,18
eyes,VGG16,3,1000,458,0.7244,22
eyes,AlexNet,3,1000,458,0.6676,21
eyes,GoogLeNet,3,1000,458,0.7113,19
eyes,ResNet18,3,1000,458,0.7505,16
eyes,ResNet34,3,1000,458,0.8068,23
eyes,DenseNet121,3,1000,458,0.8014,23
eyes,EfficientNetV2,3,1000,458,0.7831,23
eyes,MobileNetV2,3,1000,458,0.7197,21
ear,VGG16,2,999,462,0.7905,22
ear,AlexNet,2,999,462,0.7202,22
ear,GoogLeNet,2,999,462,0.8236,19
ear,ResNet18,2,999,462,0.8761,24
ear,ResNet34,2,999,462,0.8572,21
ear,DenseNet121,2,999,462,0.8908,23
ear,EfficientNetV2,2,999,462,0.8898,21
ear,MobileNetV2,2,999,462,0.8615,21
